	kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	Cd1	Cd2	Cd3	Cd1.col	Cd2.col	Cd3.col
38	K01623	K01623	K01623	NA	ortholog	672	147	46	17	-27	52	48	#00FF00	#FF0000	#FF0000
39	K01100	K11532	K01100	NA	ortholog	624	205	46	17	-171.666666666667	102.333333333333	52.3333333333335	#00FF00	#FF0000	#FF0000
40	K00615	K00615	K00615	E2.2.1.1	ortholog	623	318	46	17	-180	-291	-370	#00FF00	#00FF00	#00FF00
41	K01807	K01807	K01807	NA	ortholog	624	375	46	17	-135.333333333333	-139.333333333333	-111.333333333333	#00FF00	#00FF00	#00FF00
42	K00855	K00855	K00855	PRK	ortholog	624	430	46	17	-284	-160	94	#00FF00	#00FF00	#FF0000
43	K01783	K01783	K01783	NA	ortholog	737	406	46	17	-4.33333333333331	16.6666666666667	75.6666666666667	#00FF00	#FF0000	#FF0000
46	K03841	K03841	K03841	FBP	ortholog	1028	182	46	17	23.3333333333333	19.3333333333333	-7.66666666666666	#FF0000	#FF0000	#00FF00
47	K01623	K01623	K01623	NA	ortholog	1028	240	46	17	-27	52	48	#00FF00	#FF0000	#FF0000
48	K01803	K01803	K01803	NA	ortholog	960	276	46	17	-2	0	-27	#00FF00	#D3D3D3	#00FF00
49	K05298	K05298	K05298	GAPA	ortholog	1007	326	46	17	578.333333333334	1430.33333333333	3504.33333333333	#FF0000	#FF0000	#FF0000
50	K00927	K00927	K00927	PGK	ortholog	1032	421	46	17	3318.33333333333	5900.33333333333	7032.33333333333	#FF0000	#FF0000	#FF0000
51	K01601	K01601	K01601,K01602	NA,NA	ortholog	827	460	46	17	-70.6666666666667	218.333333333333	605.333333333333	#00FF00	#FF0000	#FF0000
55	K01006	K01006	K01006	NA	ortholog	867	644	46	17	2626	2580	3122	#FF0000	#FF0000	#FF0000
56	K01595	K01595	K01595	NA	ortholog	931	604	46	17	45.666666666667	126.666666666667	685.666666666667	#FF0000	#FF0000	#FF0000
57	K00025	K00025	K00025,K00026	MDH1,MDH2	ortholog	994	644	46	17	1288	1844	2966	#FF0000	#FF0000	#FF0000
58	K00615	K00615	K00615	E2.2.1.1	ortholog	960	148	46	17	-180	-291	-370	#00FF00	#00FF00	#00FF00
59	K01621	K01621			ortholog	911	406	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
60	K11214	K11214			ortholog	571	282	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
67	K00150	K00150			ortholog	1057	326	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
68	K01621	K01621			ortholog	902	116	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
97	K00134	K00134	K00134	GAPDH	ortholog	1032	345	46	17	-0.333333333333334	-3.33333333333333	-6.33333333333333	#9EDE9E	#00FF00	#00FF00
109	K14454	K14454	K14454	NA	ortholog	454	548	46	17	-533	-525	-531	#00FF00	#00FF00	#00FF00
110	K14454	K14454	K14454	NA	ortholog	388	580	46	17	-533	-525	-531	#00FF00	#00FF00	#00FF00
111	K00025	K00025	K00025,K00026	MDH1,MDH2	ortholog	454	614	46	17	1288	1844	2966	#FF0000	#FF0000	#FF0000
112	K00814	K00814	K00814,K14272	GPT,NA	ortholog	338	680	46	17	5876	9814	13002	#FF0000	#FF0000	#FF0000
113	K00814	K00814	K00814,K14272	GPT,NA	ortholog	209	680	46	17	5876	9814	13002	#FF0000	#FF0000	#FF0000
114	K01006	K01006	K01006	NA	ortholog	144	646	46	17	2626	2580	3122	#FF0000	#FF0000	#FF0000
115	K00051	K00051	K00051	E1.1.1.82	ortholog	516	580	46	17	-650	-545	-696	#00FF00	#00FF00	#00FF00
118	K01595	K01595	K01595	NA	ortholog	331	484	46	17	45.666666666667	126.666666666667	685.666666666667	#FF0000	#FF0000	#FF0000
121	K00029	K00029	K00029	E1.1.1.40	ortholog	317	771	46	17	0	-1	2	#D3D3D3	#00FF00	#FF0000
122	K00028	K00028	K00028	E1.1.1.39	ortholog	392	724	46	17	781.666666666667	887.666666666667	1211.66666666667	#FF0000	#FF0000	#FF0000
127	K00029	K00029	K00029	E1.1.1.40	ortholog	931	685	46	17	0	-1	2	#D3D3D3	#00FF00	#FF0000
129	K01610	K01610	K01610	NA	ortholog	283	614	46	17	-1749	-780	-954	#00FF00	#00FF00	#00FF00
