	kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	Cd1	Cd2	Cd3	Cd1.col	Cd2.col	Cd3.col
21	K09011	K09011			ortholog	475	218	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
22	K01703	K01703	K01703,K01704	NA,NA	ortholog	270	183	46	17	2669.66666666667	2550.66666666667	3098.66666666667	#FF0000	#FF0000	#FF0000
23	K00052	K00052	K00052	leuB	ortholog	179	208	46	17	-325.666666666667	-292.666666666667	-223.666666666667	#00FF00	#00FF00	#00FF00
24	K01754	K17989	K01754	NA	ortholog	129	240	46	17	197.333333333333	168.333333333333	163.333333333333	#FF0000	#FF0000	#FF0000
32	K00826	K00826	K00826	E2.6.1.42	ortholog	154	565	46	17	261	171	169	#FF0000	#FF0000	#FF0000
34	K00826	K00826	K00826	E2.6.1.42	ortholog	676	704	46	17	261	171	169	#FF0000	#FF0000	#FF0000
35	K00053	K00053	K00053	ilvC	ortholog	179	429	46	17	843.666666666668	1227.66666666667	1882.66666666667	#FF0000	#FF0000	#FF0000
36	K01703	K01702	K01703,K01704	NA,NA	ortholog	533	530	46	17	2669.66666666667	2550.66666666667	3098.66666666667	#FF0000	#FF0000	#FF0000
37	K00052	K00052	K00052	leuB	ortholog	702	565	46	17	-325.666666666667	-292.666666666667	-223.666666666667	#00FF00	#00FF00	#00FF00
38	K01703	K01702	K01703,K01704	NA,NA	ortholog	645	530	46	17	2669.66666666667	2550.66666666667	3098.66666666667	#FF0000	#FF0000	#FF0000
39	K01649	K01649	K01649	NA	ortholog	411	524	46	17	1790	1537	1949	#FF0000	#FF0000	#FF0000
40	K00835	K00835			ortholog	396	565	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
41	K00826	K00826	K00826	E2.6.1.42	ortholog	296	565	46	17	261	171	169	#FF0000	#FF0000	#FF0000
42	K01687	K01687	K01687	NA	ortholog	321	495	46	17	185	165	182	#FF0000	#FF0000	#FF0000
43	K00053	K00053	K00053	ilvC	ortholog	154	361	46	17	843.666666666668	1227.66666666667	1882.66666666667	#FF0000	#FF0000	#FF0000
45	K00053	K00053	K00053	ilvC	ortholog	296	361	46	17	843.666666666668	1227.66666666667	1882.66666666667	#FF0000	#FF0000	#FF0000
46	K01687	K01687	K01687	NA	ortholog	179	495	46	17	185	165	182	#FF0000	#FF0000	#FF0000
47	K00053	K00053	K00053	ilvC	ortholog	321	429	46	17	843.666666666668	1227.66666666667	1882.66666666667	#FF0000	#FF0000	#FF0000
48	K01652	K01652	K01652,K01653	NA,NA	ortholog	179	293	46	17	4919	4706	6025	#FF0000	#FF0000	#FF0000
52	K00263	K00263			ortholog	726	704	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
53	K00263	K00263			ortholog	346	565	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
54	K00263	K00263			ortholog	204	565	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
85	K01703	K01703	K01703,K01704	NA,NA	ortholog	411	182	46	17	2669.66666666667	2550.66666666667	3098.66666666667	#FF0000	#FF0000	#FF0000
86	K01652	K01652	K01652,K01653	NA,NA	ortholog	321	293	46	17	4919	4706	6025	#FF0000	#FF0000	#FF0000
