	kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	Cd1	Cd2	Cd3	Cd1.col	Cd2.col	Cd3.col
11	K01626	K01626	K01626	NA	ortholog	282	201	46	17	10306	8568	12281	#FF0000	#FF0000	#FF0000
39	K05887	K05887			ortholog	445	328	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
40	K05887	K05887			ortholog	445	173	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
51	K01736	K01736	K01736	NA	ortholog	420	505	46	17	4399.33333333333	3437.33333333333	5879.33333333333	#FF0000	#FF0000	#FF0000
52	K01695	K01695	K01695,K01696	NA,NA	ortholog	190	416	46	17	4032	3879	5276	#FF0000	#FF0000	#FF0000
53	K01695	K01695	K01695	NA	ortholog	190	355	46	17	-135.666666666667	124.333333333333	-36.6666666666667	#00FF00	#FF0000	#00FF00
54	K01696	K01696	K01696	NA	ortholog	143	379	46	17	4167.66666666667	3754.66666666667	5312.66666666667	#FF0000	#FF0000	#FF0000
55	K01609	K01656	K01609	NA	ortholog	236	444	46	17	407.666666666667	353.666666666667	610.666666666667	#FF0000	#FF0000	#FF0000
56	K01817	K13501	K01817	NA	ortholog	237	511	46	17	-53.6666666666667	117.333333333333	95.3333333333333	#00FF00	#FF0000	#FF0000
57	K00766	K00766	K00766	trpD	ortholog	278	539	46	17	457.333333333333	487.333333333333	613.333333333333	#FF0000	#FF0000	#FF0000
58	K01657	K01656	K01657,K01658	NA,NA	ortholog	378	540	46	17	-224.333333333333	-425.333333333333	7.66666666666669	#00FF00	#00FF00	#FF0000
59	K01850	K01850	K01850	NA	ortholog	420	570	46	17	3252	2516	3494	#FF0000	#FF0000	#FF0000
60	K05359	K05359	K05359	ADT	ortholog	237	630	46	17	-180.666666666667	-186.666666666667	-122.666666666667	#00FF00	#00FF00	#00FF00
61	K05359	K04518	K05359	ADT	ortholog	330	630	46	17	-180.666666666667	-186.666666666667	-122.666666666667	#00FF00	#00FF00	#00FF00
62	K00815	K00815	K00815	TAT	ortholog	355	715	46	17	8	25	20	#FF0000	#FF0000	#FF0000
63	K03334	K03334			ortholog	237	734	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
64	K00832	K00832			ortholog	355	734	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
65	K00270	K00270			ortholog	355	753	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
66	K00832	K00832			ortholog	421	630	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
67	K05359	K05359	K05359	ADT	ortholog	380	803	46	17	-180.666666666667	-186.666666666667	-122.666666666667	#00FF00	#00FF00	#00FF00
68	K05359	K04518	K05359	ADT	ortholog	380	782	46	17	-180.666666666667	-186.666666666667	-122.666666666667	#00FF00	#00FF00	#00FF00
69	K00211	K00211			ortholog	549	630	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
70	K00220	K04517			ortholog	499	630	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
71	K00220	K00220			ortholog	470	782	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
72	K00500	K00500			ortholog	380	842	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
73	K03334	K03334			ortholog	617	734	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
74	K00815	K00815	K00815	TAT	ortholog	549	715	46	17	8	25	20	#FF0000	#FF0000	#FF0000
75	K00800	K00800	K00800	aroA	ortholog	420	448	46	17	2868	1895	3368	#FF0000	#FF0000	#FF0000
76	K00891	K00891	K00891	E2.7.1.71	ortholog	420	382	46	17	2857	2845	4665	#FF0000	#FF0000	#FF0000
77	K13832	K00014	K13832	NA	ortholog	421	309	46	17	214.333333333333	113.333333333333	335.333333333333	#FF0000	#FF0000	#FF0000
78	K13832	K03785	K13832	NA	ortholog	421	239	46	17	214.333333333333	113.333333333333	335.333333333333	#FF0000	#FF0000	#FF0000
79	K09484	K09484			ortholog	421	154	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
80	K01735	K01735	K01735	NA	ortholog	372	202	46	17	2526.33333333333	2316.33333333333	3085.33333333333	#FF0000	#FF0000	#FF0000
81	K00832	K00832			ortholog	549	734	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
83	K00811	K14454	K00811,K14454,K15849	ASP5,NA,NA	ortholog	305	715	46	17	1919.66666666667	1210.66666666667	2074.66666666667	#FF0000	#FF0000	#FF0000
84	K00811	K14454	K00811,K14454,K15849	ASP5,NA,NA	ortholog	499	715	46	17	1919.66666666667	1210.66666666667	2074.66666666667	#FF0000	#FF0000	#FF0000
85	K05358	K05358			ortholog	395	173	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
86	K05358	K05358			ortholog	395	328	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
89	K00817	K00817	K00817	hisC	ortholog	305	734	46	17	-25.3333333333333	-62.3333333333333	-79.3333333333333	#00FF00	#00FF00	#00FF00
90	K00817	K00817	K00817	hisC	ortholog	499	734	46	17	-25.3333333333333	-62.3333333333333	-79.3333333333333	#00FF00	#00FF00	#00FF00
129	K11646	K11646			ortholog	470	202	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
130	K16306	K16306			ortholog	561	202	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
141	K05821	K05821			ortholog	305	753	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
142	K05821	K05821			ortholog	499	753	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
143	K15227	K15226	K15227	NA	ortholog	470	803	46	17	370.333333333333	412.333333333333	732.333333333333	#FF0000	#FF0000	#FF0000
145	K15849	K15849	K15849	NA	ortholog	395	649	46	17	2439	1709	2508	#FF0000	#FF0000	#FF0000
146	K15849	K15849	K15849	NA	ortholog	445	649	46	17	2439	1709	2508	#FF0000	#FF0000	#FF0000
147	K00270	K00270			ortholog	549	753	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
150	K16305	K16305			ortholog	642	243	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
153	K16305	K16305			ortholog	643	280	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
158	K17748	K17748			ortholog	206	675	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
159	K17749	K17749			ortholog	115	675	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
163	K17750	K17750			ortholog	66	703	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
171	K18240	K18240			ortholog	608	570	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
172	K18239	K18239			ortholog	681	570	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
