	kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	Cd1	Cd2	Cd3	Cd1.col	Cd2.col	Cd3.col
28	K04374	K04374			ortholog	296	638	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
29	K04452	K04452			ortholog	361	720	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
30	K04440	K04440			ortholog	550	638	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
31	K03173	K03173			ortholog	548	522	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
32	K04426	K04426			ortholog	550	561	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
33	K04431	K04431			ortholog	550	599	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
34	K03237	K03237	K03237	EIF2S1	ortholog	298	522	46	17	-314	-188	-180	#00FF00	#00FF00	#00FF00
35	K08054	K08054	K08054	CANX	ortholog	440	126	46	17	14542	13590	18922	#FF0000	#FF0000	#FF0000
36	K08057	K08057	K08057	CALR	ortholog	441	182	46	17	895.666666666667	709.666666666667	1236.66666666667	#FF0000	#FF0000	#FF0000
37	K14019	K14019			ortholog	272	561	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
56	K08056	K08056			ortholog	441	152	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
57	K04741	K04741			ortholog	641	561	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
58	K01367	K01367			ortholog	641	522	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
59	K07342	K10956	K07342,K09481,K10956	SEC61G,SEC61B,NA	ortholog	58	201	46	17	422.333333333333	342.333333333333	1434.33333333333	#FF0000	#FF0000	#FF0000
63	K13525	K13525	K13525	NA	ortholog	943	380	46	17	5242.33333333333	5959.33333333333	6796.33333333333	#FF0000	#FF0000	#FF0000
64	K07342	K10956	K07342,K09481,K10956	SEC61G,SEC61B,NA	ortholog	767	417	46	17	422.333333333333	342.333333333333	1434.33333333333	#FF0000	#FF0000	#FF0000
65	K07151	K12666	K07151,K12666,K12667,K12668,K12669,K12670	STT3,NA,NA,NA,NA,NA	ortholog	137	230	46	17	-221.666666666667	-710.666666666667	-1138.66666666667	#00FF00	#00FF00	#00FF00
66	K10084	K10084	K10084,K10085	EDEM1,EDEM2	ortholog	593	367	46	17	-102.666666666667	-101.666666666667	-112.666666666667	#00FF00	#00FF00	#00FF00
80	K14006	K14006	K14006,K14007	NA,NA	ortholog	794	160	46	17	960.333333333333	978.333333333333	1368.33333333333	#FF0000	#FF0000	#FF0000
83	K10082	K10082			ortholog	665	178	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
84	K10080	K10080			ortholog	665	198	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
89	K14016	K14016	K14016	NA	ortholog	947	444	46	17	34.3333333333333	200.333333333333	367.333333333333	#FF0000	#FF0000	#FF0000
90	K14015	K14015	K14015	NA	ortholog	947	427	46	17	55	6	132	#FF0000	#FF0000	#FF0000
91	K10950	K10950	K10950	NA	ortholog	722	333	46	17	602.333333333333	737.333333333333	946.333333333333	#FF0000	#FF0000	#FF0000
92	K01230	K01230	K01230,K23741	NA,NA	ortholog	566	178	46	17	-24	-169	43	#00FF00	#00FF00	#FF0000
93	K05546	K05546	K05546,K08288	GANAB,PRKCSH	ortholog	367	178	46	17	74.6666666666667	-137.333333333333	83.6666666666667	#FF0000	#00FF00	#FF0000
94	K05546	K05546	K05546,K08288	GANAB,PRKCSH	ortholog	502	276	46	17	74.6666666666667	-137.333333333333	83.6666666666667	#FF0000	#00FF00	#FF0000
95	K01228	K01228	K01228	NA	ortholog	367	144	46	17	12.6666666666667	-9.33333333333331	144.666666666667	#FF0000	#00FF00	#FF0000
99	K11718	K11718	K11718	NA	ortholog	418	252	46	17	583.666666666667	583.666666666667	677.666666666667	#FF0000	#FF0000	#FF0000
105	K01230	K01230	K01230,K23741	NA,NA	ortholog	594	400	46	17	-24	-169	43	#00FF00	#00FF00	#FF0000
116	K10661	K10661	K10661	MARCH6	ortholog	759	604	46	17	426.666666666667	562.666666666667	797.666666666667	#FF0000	#FF0000	#FF0000
117	K10601	K10601	K10601	SYVN1	ortholog	760	693	46	17	-237.666666666667	-262.666666666667	-271.666666666667	#00FF00	#00FF00	#00FF00
118	K14022	K14022			ortholog	806	709	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
119	K14023	K14023			ortholog	760	676	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
