kegg.names,annot
K00660  ,chalcone synthase [EC:2.3.1.74]
K01859  ,chalcone isomerase [EC:5.5.1.6]
K00475  ,naringenin 3-dioxygenase [EC:1.14.11.9]
K13077  ,flavone synthase I [EC:1.14.20.5]
K05278  ,flavonol synthase [EC:1.14.20.6]
K00487  ,trans-cinnamate 4-monooxygenase [EC:1.14.14.91]
K08243  ,chalcone reductase
K23179  ,flavone synthase II [EC:1.14.19.76]
K05280  ,flavonoid 3'-monooxygenase [EC:1.14.14.82]
K13082  ,bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase [EC:1.1.1.219 1.1.1.234]
K23180  ,flavone synthase II [EC:1.14.19.76]
K13083  ,"flavonoid 3',5'-hydroxylase [EC:1.14.14.81]"
K05277  ,anthocyanidin synthase [EC:1.14.20.4]
K08695  ,anthocyanidin reductase [EC:1.3.1.77]
K13081  ,leucoanthocyanidin reductase [EC:1.17.1.3]
K13080  ,flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase [EC:2.4.1.236]
K23053  ,flavonoid 4'-O-methyltransferase [EC:2.1.1.231]
K22440  ,naringenin 7-O-methyltransferase [EC:2.1.1.232]
K22845  ,phlorizin synthase [EC:2.4.1.357]
K13078  ,chalcononaringenin 2'-O-glucosyltransferase [EC:2.4.1.-]
K21581  ,desmethylxanthohumol 6'-O-methyltransferase [EC:2.1.1.338]
K21582  ,xanthohumol 4'-O-methyltransferase [EC:2.1.1.339]
K21372  ,chalcone 4'-O-glucosyltransferase [EC:2.4.1.286]
K13079  ,aureusidin synthase [EC:1.21.3.6]
K13065  ,shikimate O-hydroxycinnamoyltransferase [EC:2.3.1.133]
K09754  ,5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase [EC:1.14.14.96]
K00588  ,caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
