kegg.names,annot
K10775  ,phenylalanine ammonia-lyase [EC:4.3.1.24]
K13064  ,phenylalanine/tyrosine ammonia-lyase [EC:4.3.1.25]
K00487  ,trans-cinnamate 4-monooxygenase [EC:1.14.14.91]
K01904  ,4-coumarate--CoA ligase [EC:6.2.1.12]
K13065  ,shikimate O-hydroxycinnamoyltransferase [EC:2.3.1.133]
K09754  ,5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase [EC:1.14.14.96]
K18368  ,caffeoylshikimate esterase [EC:3.1.1.-]
K00588  ,caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
K09753  ,cinnamoyl-CoA reductase [EC:1.2.1.44]
K12355  ,coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K09755  ,ferulate-5-hydroxylase [EC:1.14.-.-]
K13066  ,caffeic acid 3-O-methyltransferase / acetylserotonin O-methyltransferase [EC:2.1.1.68 2.1.1.4]
K00083  ,cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K22395  ,cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K11188  ,peroxiredoxin 6 [EC:1.11.1.7 1.11.1.27 3.1.1.-]
K00430  ,peroxidase [EC:1.11.1.7]
K03782  ,catalase-peroxidase [EC:1.11.1.21]
K12356  ,coniferyl-alcohol glucosyltransferase [EC:2.4.1.111]
K17054  ,coniferyl alcohol acyltransferase [EC:2.3.1.-]
K17055  ,eugenol synthase [EC:1.1.1.318]
K17056  ,isoeugenol synthase [EC:1.1.1.319]
K17057  ,(iso)eugenol O-methyltransferase [EC:2.1.1.146]
K17058  ,eugenol/chavicol O-methyltransferase [EC:2.1.1.146]
K17059  ,trans-anol O-methyltransferase [EC:2.1.1.279]
K13068  ,sinapate 1-glucosyltransferase [EC:2.4.1.120]
K09756  ,serine carboxypeptidase-like 19 [EC:3.4.16.- 2.3.1.91]
K09757  ,serine carboxypeptidase-like 8 [EC:3.4.16.- 2.3.1.92]
K20039  ,phenacrylate decarboxylase [EC:4.1.1.102]
K03186  ,flavin prenyltransferase [EC:2.5.1.129]
K15506  ,cytochrome P450 family 98 subfamily A8 [EC:1.14.13.-]
K23662  ,cytochrome P450 family 98 subfamily A9 [EC:1.14.13.-]
K13067  ,putative caffeoyl-CoA 3-O-methyltransferase [EC:2.1.1.-]
