"","ensgenes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","annotation","pathway"
"1","Mp1g25400.1",2774.14227384624,1.04695959239671,0.0832825145842146,12.5711813292817,3.04144998704609e-36,8.5243153279796e-35,"KEGG:K01649:leuA, IMS, 2-isopropylmalate synthase [EC:2.3.3.13]; KOG:KOG2367:Alpha-isopropylmalate synthase/homocitrate synthase, [E]; ProSiteProfiles:PS50991:Pyruvate carboxyltransferase domain.; PTHR10277:SF64:2-ISOPROPYLMALATE SYNTHASE 1 CHLOROPLASTIC; Pfam:PF08502:LeuA allosteric (dimerisation) domain; SMART:SM00917:LeuA_dimer_2; ProSitePatterns:PS00815:Alpha-isopropylmalate and homocitrate synthases signature 1.; PANTHER:PTHR10277:HOMOCITRATE SYNTHASE-RELATED; G3DSA:1.10.238.260; SUPERFAMILY:SSF110921:2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain; TIGRFAM:TIGR00973:leuA_bact: 2-isopropylmalate synthase; Pfam:PF00682:HMGL-like; CDD:cd07940:DRE_TIM_IPMS; G3DSA:3.20.20.70:Aldolase class I; SUPERFAMILY:SSF51569:Aldolase; G3DSA:3.30.160.270; Hamap:MF_01025:2-isopropylmalate synthase [leuA].; GO:0019752:carboxylic acid metabolic process; GO:0003852:2-isopropylmalate synthase activity; GO:0003824:catalytic activity; GO:0009098:leucine biosynthetic process; GO:0046912:transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer; MapolyID:Mapoly0002s0332","Valine, leucine and isoleucine biosynthesis"
"2","Mp1g26970.1",3973.09817855066,2.24893681523616,0.0889652030511183,25.2788364226399,5.45970607454978e-141,7.49048765570574e-139,"KEGG:K01652:E2.2.1.6L, ilvB, ilvG, ilvI, acetolactate synthase I/II/III large subunit [EC:2.2.1.6]; KOG:KOG2450:Aldehyde dehydrogenase, [C]; KOG:KOG1185:Thiamine pyrophosphate-requiring enzyme, [EH]; G3DSA:3.40.605.10:Aldehyde Dehydrogenase, Chain A; PANTHER:PTHR18968:THIAMINE PYROPHOSPHATE ENZYMES; SUPERFAMILY:SSF52518:Thiamin diphosphate-binding fold (THDP-binding); ProSitePatterns:PS00187:Thiamine pyrophosphate enzymes signature.; Pfam:PF00171:Aldehyde dehydrogenase family; Pfam:PF02775:Thiamine pyrophosphate enzyme, C-terminal TPP binding domain; SUPERFAMILY:SSF52467:DHS-like NAD/FAD-binding domain; ProSitePatterns:PS00687:Aldehyde dehydrogenases glutamic acid active site.; CDD:cd07147:ALDH_F21_RNP123; G3DSA:3.40.50.970; PTHR18968:SF129:ACETOLACTATE SYNTHASE; CDD:cd02010:TPP_ALS; SUPERFAMILY:SSF53720:ALDH-like; MobiDBLite:consensus disorder prediction; Pfam:PF00205:Thiamine pyrophosphate enzyme, central domain; Pfam:PF02776:Thiamine pyrophosphate enzyme, N-terminal TPP binding domain; CDD:cd07035:TPP_PYR_POX_like; G3DSA:3.40.309.10:Aldehyde Dehydrogenase, Chain A; G3DSA:3.40.50.1220; GO:0000287:magnesium ion binding; GO:0003824:catalytic activity; GO:0030976:thiamine pyrophosphate binding; GO:0016491:oxidoreductase activity; GO:0016620:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; MapolyID:Mapoly0002s0181","Valine, leucine and isoleucine biosynthesis"
"3","Mp1g27250.1",3531.78901704449,2.2441465451373,0.0893288025273832,25.1223175688421,2.83709809328633e-139,3.81239914330031e-137,"KEGG:K01696:trpB, tryptophan synthase beta chain [EC:4.2.1.20]; KOG:KOG1395:Tryptophan synthase beta chain, [E]; PIRSF:PIRSF001413:Trp_syn_beta; Hamap:MF_00133:Tryptophan synthase beta chain [trpB].; G3DSA:3.40.50.1100; TIGRFAM:TIGR00263:trpB: tryptophan synthase, beta subunit; PANTHER:PTHR48077:TRYPTOPHAN SYNTHASE-RELATED; PTHR48077:SF8:TRYPTOPHAN SYNTHASE BETA CHAIN 1, CHLOROPLASTIC-RELATED; Pfam:PF00291:Pyridoxal-phosphate dependent enzyme; SUPERFAMILY:SSF53686:Tryptophan synthase beta subunit-like PLP-dependent enzymes; ProSitePatterns:PS00168:Tryptophan synthase beta chain pyridoxal-phosphate attachment site.; CDD:cd06446:Trp-synth_B; GO:0004834:tryptophan synthase activity; GO:0006568:tryptophan metabolic process; GO:0000162:tryptophan biosynthetic process; MapolyID:Mapoly0002s0153","Phenylalanine, tyrosine and tryptophan biosynthesis"
"4","Mp2g01030.1",2051.81538134908,3.01358343438247,0.10930068338306,27.571496729082,2.44515754844026e-167,4.4418098095231e-165,"KEGG:K01850:E5.4.99.5, chorismate mutase [EC:5.4.99.5]; KOG:KOG0795:Chorismate mutase, [E]; SUPERFAMILY:SSF48600:Chorismate mutase II; G3DSA:1.10.590.10:Chorismate Mutase; ProSiteProfiles:PS51169:Chorismate mutase domain profile.; TIGRFAM:TIGR01802:CM_pl-yst: chorismate mutase; PANTHER:PTHR21145:CHORISMATE MUTASE; GO:0009073:aromatic amino acid family biosynthetic process; GO:0004106:chorismate mutase activity; GO:0046417:chorismate metabolic process; MapolyID:Mapoly0028s0048","Phenylalanine, tyrosine and tryptophan biosynthesis"
"5","Mp2g04380.1",3265.18206217793,1.3394753479067,0.0864768989199867,15.4894008068681,4.09085319934634e-54,1.83657777844338e-52,"KEGG:K01735:aroB, 3-dehydroquinate synthase [EC:4.2.3.4]; KOG:KOG0692:Pentafunctional AROM protein, C-term missing, [E]; G3DSA:3.40.50.1970; G3DSA:1.20.1090.10; PANTHER:PTHR43622:3-DEHYDROQUINATE SYNTHASE; Hamap:MF_00110:3-dehydroquinate synthase [aroB].; Pfam:PF01761:3-dehydroquinate synthase; CDD:cd08195:DHQS; TIGRFAM:TIGR01357:aroB: 3-dehydroquinate synthase; SUPERFAMILY:SSF56796:Dehydroquinate synthase-like; PTHR43622:SF7:3-DEHYDROQUINATE SYNTHASE, CHLOROPLASTIC; GO:0009073:aromatic amino acid family biosynthetic process; GO:0005737:cytoplasm; GO:0003856:3-dehydroquinate synthase activity; MapolyID:Mapoly0031s0094","Phenylalanine, tyrosine and tryptophan biosynthesis"
"6","Mp3g21830.1",5025.49157004167,1.13476819755405,0.0939438177423517,12.0792216542257,1.36001001502405e-33,3.57668049393523e-32,"KEGG:K00891:aroK, aroL, shikimate kinase [EC:2.7.1.71]; CDD:cd00464:SK; G3DSA:3.40.50.300; PANTHER:PTHR21087:SHIKIMATE KINASE; PRINTS:PR01100:Shikimate kinase family signature; PTHR21087:SF16:SHIKIMATE KINASE 1, CHLOROPLASTIC; Pfam:PF01202:Shikimate kinase; SUPERFAMILY:SSF52540:P-loop containing nucleoside triphosphate hydrolases; Hamap:MF_00109:Shikimate kinase [aroK].; ProSitePatterns:PS01128:Shikimate kinase signature.; MapolyID:Mapoly0089s0033","Phenylalanine, tyrosine and tryptophan biosynthesis"
"7","Mp4g12300.1",1809.03341286583,2.8584850012933,0.100042528710038,28.572698412875,1.46773467254763e-179,3.09628887534538e-177,"KEGG:K01696:trpB, tryptophan synthase beta chain [EC:4.2.1.20]; KOG:KOG1395:Tryptophan synthase beta chain, [E]; PTHR48077:SF8:TRYPTOPHAN SYNTHASE BETA CHAIN 1, CHLOROPLASTIC-RELATED; TIGRFAM:TIGR00263:trpB: tryptophan synthase, beta subunit; SUPERFAMILY:SSF53686:Tryptophan synthase beta subunit-like PLP-dependent enzymes; Hamap:MF_00133:Tryptophan synthase beta chain [trpB].; PANTHER:PTHR48077:TRYPTOPHAN SYNTHASE-RELATED; CDD:cd06446:Trp-synth_B; ProSitePatterns:PS00168:Tryptophan synthase beta chain pyridoxal-phosphate attachment site.; G3DSA:3.40.50.1100; PIRSF:PIRSF001413:Trp_syn_beta; Pfam:PF00291:Pyridoxal-phosphate dependent enzyme; GO:0004834:tryptophan synthase activity; GO:0006568:tryptophan metabolic process; GO:0000162:tryptophan biosynthetic process; MapolyID:Mapoly0011s0212","Phenylalanine, tyrosine and tryptophan biosynthesis"
"8","Mp5g05030.1",858.614226414825,1.00073561552825,0.104923841591275,9.53773327730943,1.45988223438023e-21,2.37688212085524e-20,"KEGG:K00766:trpD, anthranilate phosphoribosyltransferase [EC:2.4.2.18]; KOG:KOG1438:Anthranilate phosphoribosyltransferase, [E]; SUPERFAMILY:SSF47648:Nucleoside phosphorylase/phosphoribosyltransferase N-terminal domain; SUPERFAMILY:SSF52418:Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain; G3DSA:3.40.1030.10:Pyrimidine Nucleoside Phosphorylase, Chain A; PTHR43285:SF1:ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE, CHLOROPLASTIC-LIKE ISOFORM X1; Pfam:PF00591:Glycosyl transferase family, a/b domain; Hamap:MF_00211:Anthranilate phosphoribosyltransferase [trpD].; PANTHER:PTHR43285:ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE; G3DSA:1.20.970.10:Transferase; TIGRFAM:TIGR01245:trpD: anthranilate phosphoribosyltransferase; Pfam:PF02885:Glycosyl transferase family, helical bundle domain; GO:0016757:transferase activity, transferring glycosyl groups; GO:0004048:anthranilate phosphoribosyltransferase activity; GO:0000162:tryptophan biosynthetic process; MapolyID:Mapoly0027s0124","Phenylalanine, tyrosine and tryptophan biosynthesis"
"9","Mp5g16730.1",534.226141689685,2.41033444400332,0.149150123631179,16.1604589075879,9.58455115872754e-59,4.68925958062533e-57,"KEGG:K00815:TAT, tyrosine aminotransferase [EC:2.6.1.5]; KOG:KOG0259:Tyrosine aminotransferase, [E]; MobiDBLite:consensus disorder prediction; Pfam:PF00155:Aminotransferase class I and II; G3DSA:3.40.640.10; G3DSA:3.90.1150.10:Aspartate Aminotransferase; PANTHER:PTHR45744:TYROSINE AMINOTRANSFERASE; ProSitePatterns:PS00105:Aminotransferases class-I pyridoxal-phosphate attachment site.; CDD:cd00609:AAT_like; TIGRFAM:TIGR01265:tyr_nico_aTase: tyrosine/nicotianamine family aminotransferase; SUPERFAMILY:SSF53383:PLP-dependent transferases; GO:0008483:transaminase activity; GO:0009058:biosynthetic process; GO:0006520:cellular amino acid metabolic process; GO:0003824:catalytic activity; GO:0030170:pyridoxal phosphate binding; MapolyID:Mapoly0117s0033","Phenylalanine, tyrosine and tryptophan biosynthesis"
"10","Mp5g21220.1",1535.48194617192,2.80810811421395,0.128411765034329,21.8679971688205,5.24079839299871e-106,4.94323190731931e-104,"KEGG:K15849:PAT, AAT, bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase [EC:2.6.1.1 2.6.1.78 2.6.1.79]; KOG:KOG0257:Kynurenine aminotransferase, glutamine transaminase K, [E]; CDD:cd00609:AAT_like; G3DSA:3.40.640.10; SUPERFAMILY:SSF53383:PLP-dependent transferases; ProSitePatterns:PS00105:Aminotransferases class-I pyridoxal-phosphate attachment site.; G3DSA:3.90.1150.10:Aspartate Aminotransferase; Coils:Coil; Pfam:PF00155:Aminotransferase class I and II; PTHR43795:SF64:GLUTAMATE-OXALOACETATE TRANSAMINASE5; PANTHER:PTHR43795:BIFUNCTIONAL ASPARTATE AMINOTRANSFERASE AND GLUTAMATE/ASPARTATE-PREPHENATE AMINOTRANSFERASE-RELATED; GO:0030170:pyridoxal phosphate binding; GO:0009058:biosynthetic process; GO:0003824:catalytic activity; MapolyID:Mapoly0058s0104","Phenylalanine, tyrosine and tryptophan biosynthesis"
"11","Mp6g04140.1",2649.21801455376,1.73864805925988,0.114296328147984,15.2117577828816,2.95500856966655e-52,1.27696724952176e-50,"KEGG:K00800:aroA, 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]; KOG:KOG0692:Pentafunctional AROM protein, [E]; TIGRFAM:TIGR01356:aroA: 3-phosphoshikimate 1-carboxyvinyltransferase; CDD:cd01556:EPSP_synthase; Pfam:PF00275:EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase); G3DSA:3.65.10.10; Hamap:MF_00210:3-phosphoshikimate 1-carboxyvinyltransferase [aroA].; ProSitePatterns:PS00885:EPSP synthase signature 2.; ProSitePatterns:PS00104:EPSP synthase signature 1.; PTHR21090:SF28:3-PHOSPHOSHIKIMATE 1-CARBOXYVINYLTRANSFERASE, CHLOROPLASTIC; PANTHER:PTHR21090:AROM/DEHYDROQUINATE SYNTHASE; SUPERFAMILY:SSF55205:EPT/RTPC-like; GO:0009073:aromatic amino acid family biosynthetic process; GO:0003824:catalytic activity; GO:0003866:3-phosphoshikimate 1-carboxyvinyltransferase activity; GO:0016765:transferase activity, transferring alkyl or aryl (other than methyl) groups; MapolyID:Mapoly0034s0104","Phenylalanine, tyrosine and tryptophan biosynthesis"
