kegg.names,annot
K00640  ,serine O-acetyltransferase [EC:2.3.1.30]
K23304  ,serine O-acetyltransferase [EC:2.3.1.30]
K01738  ,cysteine synthase [EC:2.5.1.47]
K13034  ,L-3-cyanoalanine synthase/ cysteine synthase [EC:2.5.1.47 4.4.1.9]
K10150  ,cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22]
K17069  ,O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47]
K01758  ,cystathionine gamma-lyase [EC:4.4.1.1]
K17217  ,cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2]
K00816  ,kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64]
K01760  ,cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
K14155  ,cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
K21623  ,L-cystine beta-lyase [EC:4.4.1.35]
K01697  ,cystathionine beta-synthase [EC:4.2.1.22]
K17216  ,cystathionine beta-synthase (O-acetyl-L-serine) [EC:2.5.1.134]
K00544  ,betaine-homocysteine S-methyltransferase [EC:2.1.1.5]
K00547  ,homocysteine S-methyltransferase [EC:2.1.1.10]
K00548  ,5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
K24042  ,methionine synthase / methylenetetrahydrofolate reductase (NADH) [EC:2.1.1.13 1.5.1.54]
K00549  ,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
K00789  ,S-adenosylmethionine synthetase [EC:2.5.1.6]
K01611  ,S-adenosylmethionine decarboxylase [EC:4.1.1.50]
K00797  ,spermidine synthase [EC:2.5.1.16]
K24034  ,"spermidine synthase / saccharopine dehydrogenase (NADP+, L-glutamate-forming) [EC:2.5.1.16 1.5.1.10]"
K00802  ,spermine synthase [EC:2.5.1.22]
K13060  ,acyl homoserine lactone synthase [EC:2.3.1.184]
K13061  ,acyl homoserine lactone synthase [EC:2.3.1.184]
K13062  ,acyl homoserine lactone synthase [EC:2.3.1.184]
K20248  ,acyl homoserine lactone synthase [EC:2.3.1.184]
K20249  ,acyl homoserine lactone synthase [EC:2.3.1.184]
K20250  ,acyl homoserine lactone synthase [EC:2.3.1.184]
K22954  ,acyl homoserine lactone synthase [EC:2.3.1.184]
K22955  ,acyl homoserine lactone synthase [EC:2.3.1.184]
K22956  ,acyl homoserine lactone synthase [EC:2.3.1.184]
K22957  ,acyl homoserine lactone synthase [EC:2.3.1.184]
K22968  ,acyl homoserine lactone synthase [EC:2.3.1.184]
K05953  ,nicotianamine synthase [EC:2.5.1.43]
K01243  ,adenosylhomocysteine nucleosidase [EC:3.2.2.9]
K18284  ,adenosylhomocysteine/aminodeoxyfutalosine nucleosidase [EC:3.2.2.9 3.2.2.30]
K01244  ,5'-methylthioadenosine nucleosidase [EC:3.2.2.16]
K00899  ,5-methylthioribose kinase [EC:2.7.1.100]
K00772  ,5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
K05810  ,purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]
K12960  ,5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]
K19696  ,5'-methylthioinosine phosphorylase [EC:2.4.2.44]
K08963  ,methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
K08964  ,methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]
K16054  ,methylthioribulose 1-phosphate dehydratase / enolase-phosphatase E1 [EC:4.2.1.109 3.1.3.77]
K08965  ,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase [EC:5.3.2.5]"
K08966  ,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase [EC:3.1.3.87]
K09880  ,enolase-phosphatase E1 [EC:3.1.3.77]
K08967  ,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]"
K00832  ,aromatic-amino-acid transaminase [EC:2.6.1.57]
K00838  ,aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]
K08969  ,L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]
K23977  ,L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]
K00815  ,tyrosine aminotransferase [EC:2.6.1.5]
K03334  ,L-amino-acid oxidase [EC:1.4.3.2]
K00837  ,aromatic aminotransferase [EC:2.6.1.-]
K25035  ,S-methyl-5-thioribulose 1-phosphate isomerase [EC:5.3.3.23]
K01767  ,S-methyl-1-thioxylulose 5-phosphate methylthiotransferase [EC:2.8.4.6]
K01761  ,methionine-gamma-lyase [EC:4.4.1.11]
K08968  ,L-methionine (R)-S-oxide reductase [EC:1.8.4.14]
K00558  ,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K17398  ,DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]
K17399  ,DNA (cytosine-5)-methyltransferase 3B [EC:2.1.1.37]
K01251  ,adenosylhomocysteinase [EC:3.3.1.1]
K17462  ,putative AdoMet-dependent methyltransferase [EC:2.1.1.-]
K07173  ,S-ribosylhomocysteine lyase [EC:4.4.1.21]
